Unnamed: 0,Unnamed: 1,↓ココの列に色を塗らないこと↓,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,2025-03-23 00:00:00
,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,月,,,,,,,2025-03-01 00:00:00,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,2025-03-09 00:00:00,2025-03-10 00:00:00,2025-03-11 00:00:00,2025-03-12 00:00:00,2025-03-13 00:00:00,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-17 00:00:00,2025-03-18 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-22 00:00:00,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-03-31 00:00:00,,,
,,ブランド,企画タイトル,開始日,終了日,期間補足,条件,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,,,
,継続,CITIZEN,New Life　キャンペーン,2025-02-14 00:00:00,2025-04-13 00:00:00,,"アテッサ　シチコレ　XC購入者
プレゼント応募の案内カード配布",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,継続,,
,継続,NAKAZAWA,フレッシャーズ割引cp,2025-03-24 00:00:00,2025-04-06 00:00:00,,学生本人　max20％OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新規,OTHER,バンド買い替えキャンペーン,2025-03-01 00:00:00,2025-03-31 00:00:00,,電池交換とバンド買い替えセットでバンド10％OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,終了,,
,新規,CASIO,保証延長キャンペーン,2025-03-14 00:00:00,2025-04-06 00:00:00,,"エディフィスカラーD　Gフルメタ　オシアナ
メーカー負担にて保証を2年へ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,継続,,
,新規,CASIO,学生限定ノベルティ,2025-03-14 00:00:00,2025-04-06 00:00:00,,学生対象　ガチャ　→　ノベルティ進呈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,継続,,
,新規,SEIKO,商品券プレゼントcp,2025-03-20 00:00:00,2025-04-13 00:00:00,,税込定価　5万円以上　商品券進呈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,継続,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,月,,,,,,,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-03 00:00:00,2025-04-04 00:00:00,2025-04-05 00:00:00,2025-04-06 00:00:00,2025-04-07 00:00:00,2025-04-08 00:00:00,2025-04-09 00:00:00,2025-04-10 00:00:00,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00,2025-04-17 00:00:00,2025-04-18 00:00:00,2025-04-19 00:00:00,2025-04-20 00:00:00,2025-04-21 00:00:00,2025-04-22 00:00:00,2025-04-23 00:00:00,2025-04-24 00:00:00,2025-04-25 00:00:00,2025-04-26 00:00:00,2025-04-27 00:00:00,2025-04-28 00:00:00,2025-04-29 00:00:00,2025-04-30 00:00:00,2025-05-01 00:00:00,,,
,,ブランド,企画タイトル,開始日,終了日,期間補足,条件,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,,,
,継続,CITIZEN,New Life　キャンペーン,2025-02-14 00:00:00,2025-04-13 00:00:00,,"アテッサ　シチコレ　XC購入者
プレゼント応募の案内カード配布",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,継続,CASIO,保証延長キャンペーン,2025-03-14 00:00:00,2025-04-06 00:00:00,,"エディフィスカラーD　Gフルメタ　オシアナ
メーカー負担にて保証を2年へ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,継続,CASIO,学生限定ノベルティ,2025-03-14 00:00:00,2025-04-06 00:00:00,,学生対象　ガチャ　→　ノベルティ進呈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,継続,SEIKO,商品券プレゼントcp,2025-03-20 00:00:00,2025-04-13 00:00:00,,税込定価　5万円以上　商品券進呈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,継続,NAKAZAWA,フレッシャーズ割引cp,2025-03-24 00:00:00,2025-04-06 00:00:00,,学生本人　max20％OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,月,,,,,,,2025-05-01 00:00:00,2025-05-02 00:00:00,2025-05-03 00:00:00,2025-05-04 00:00:00,2025-05-05 00:00:00,2025-05-06 00:00:00,2025-05-07 00:00:00,2025-05-08 00:00:00,2025-05-09 00:00:00,2025-05-10 00:00:00,2025-05-11 00:00:00,2025-05-12 00:00:00,2025-05-13 00:00:00,2025-05-14 00:00:00,2025-05-15 00:00:00,2025-05-16 00:00:00,2025-05-17 00:00:00,2025-05-18 00:00:00,2025-05-19 00:00:00,2025-05-20 00:00:00,2025-05-21 00:00:00,2025-05-22 00:00:00,2025-05-23 00:00:00,2025-05-24 00:00:00,2025-05-25 00:00:00,2025-05-26 00:00:00,2025-05-27 00:00:00,2025-05-28 00:00:00,2025-05-29 00:00:00,2025-05-30 00:00:00,2025-05-31 00:00:00,,,
,,ブランド,企画タイトル,開始日,終了日,期間補足,条件,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ノベルティ類消化リスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ブランド,対象商品,グッズ,,,補足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEIKO,ルキア,ショッパーとカード,,,新旧あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASIO,メタルカバードのG-SHOCK ,木製スタンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASIO,DW-H5600,タンブラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEIKO,定価11万以上,記念ブックレットとピンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CITIZEN,ｘC,ウォッチケース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
